InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
INV500026,HEA0182,Bosch Makeup,4,2024-01-29 09:20:00,20.97,11984,South Korea
INV500027,OFF0260,Samsung Marker,8,2023-07-15 19:32:00,97.95,10321,Mexico
INV500028,OFF0398,Nike Sticky Notes,6,2020-03-19 14:06:00,17.0,11377,Italy
INV500029,BOO0362,Bosch Max Language Learning,6,2021-01-24 16:42:00,16.58,11910,Australia
INV500030,KIT0450,Sony Blender,1,2021-05-18 10:37:00,224.89,11716,Italy
INV500031,FAS0447,Nikon Gray Watch,22,2021-06-27 15:09:00,139.41,10771,Germany
INV500032,HOM0417,Nike XL Blanket,8,2021-08-01 10:12:00,749.03,10993,China
INV500033,HEA0449,IKEA Serum,9,2024-10-21 19:47:00,121.26,11301,Japan
INV500034,HEA0002,Premium Blue Supplements,8,2023-02-16 17:13:00,80.19,10439,India
INV500035,BOO0092,Microsoft Standard Health Book,5,2023-06-10 14:40:00,48.56,11455,Sweden
INV500036,HOM0121,Bosch Purple Pillow,8,2022-12-22 18:11:00,117.06,11196,China
INV500037,OFF0154,IKEA Pro Sticky Notes,5,2023-09-30 15:31:00,46.63,11798,Mexico
INV500038,BOO0323,Walmart Poetry Book,6,2023-01-17 15:18:00,18.43,11632,Australia
INV500039,OFF0113,Canon Ruler,5,2022-05-09 15:20:00,12.5,10198,Germany
INV500040,HOM0340,Nikon Large Blanket,3,2022-08-09 13:42:00,697.59,10507,France
INV500041,AUT0178,Dell Red Jump Starter,3,2024-05-03 15:53:00,21.04,10233,Belgium
INV500042,HEA0443,HP Pink Foundation,7,2023-11-08 11:01:00,8.11,11649,South Korea
INV500043,SPO0138,Panasonic Bicycle,7,2020-05-04 16:49:00,380.36,10596,Netherlands
INV500044,KIT0134,Panasonic Pro Bowl Set,7,2022-03-12 20:28:00,219.27,10662,Germany
INV500045,SPO0205,Panasonic Large Ski Equipment,1,2021-07-03 15:46:00,316.93,10871,Canada
INV500046,ELE0174,Amazon Purple Speaker,1,2021-09-23 15:26:00,302.42,10449,Belgium
INV500047,TOY0294,Microsoft Educational Toy,9,2021-02-26 20:40:00,181.69,10454,India
INV500048,BOO0486,Sony Orange Technology Book,49,2021-11-06 10:38:00,11.44,10226,South Korea
INV500049,ELE0011,Microsoft Gold Smart Home Device,11,2024-07-01 14:05:00,533.52,11106,United Kingdom
INV500050,HOM0361,Luxury Rug,6,2024-04-19 20:35:00,261.07,11599,Mexico
INV500051,KIT0336,Sony White Toaster,4,2022-01-11 16:12:00,114.11,10130,Germany
INV500052,FAS0430,Panasonic Blue Gloves,4,2021-08-17 20:10:00,177.21,10322,Netherlands
INV500053,BOO0192,Standard Pink Biography,4,2023-02-06 19:15:00,22.24,11866,United Kingdom
INV500054,HOM0007,Apple Bookshelf,1,2024-03-26 16:06:00,624.65,11926,United Kingdom
INV500055,HOM0204,Budget Bookshelf,1,2020-11-17 12:19:00,433.77,11028,France
INV500056,SPO0118,Philips Large Bicycle,4,2020-03-10 12:47:00,81.5,10050,Netherlands
INV500057,HOM0417,Nike XL Blanket,7,2020-09-25 19:56:00,749.03,10254,Germany
INV500058,ELE0442,Samsung Pink Headphones,2,2022-10-30 19:45:00,1307.67,10553,Japan
INV500059,OFF0376,Samsung Black Marker,1,2024-02-29 16:38:00,44.17,11562,Singapore
INV500060,ELE0078,Samsung Gaming Console,10,2024-06-11 14:12:00,613.42,11883,Denmark
INV500061,ELE0311,Premium Mouse,6,2022-05-20 16:47:00,671.16,11703,Brazil
INV500062,AUT0155,HP Orange Car Phone Mount,4,2020-07-23 12:41:00,216.85,10048,Singapore
INV500063,TOY0242,Nikon Deluxe Action Figure,7,2020-07-09 11:26:00,111.67,11181,South Korea
INV500064,OFF0143,Samsung Deluxe Marker,9,2022-11-03 11:24:00,82.11,11149,Spain
INV500065,HEA0255,Premium Black Vitamins,6,2024-04-11 16:45:00,86.33,10036,India
INV500066,TOY0232,Microsoft Silver Art Supplies,1,2022-03-24 20:14:00,22.95,10222,Germany
INV500067,BOO0190,Microsoft Brown Biography,2,2023-08-09 12:21:00,19.37,10916,Denmark
INV500068,AUT0415,Adidas Ultra Car Phone Mount,2,2020-07-14 16:10:00,287.23,10295,Sweden
INV500069,HEA0443,HP Pink Foundation,47,2021-05-26 09:09:00,8.11,10426,South Korea
INV500070,TOY0316,Samsung Compact Electronic Toy,9,2024-01-20 17:48:00,32.66,10826,Sweden
INV500071,TOY0031,Amazon Card Game,5,2022-04-23 12:47:00,42.38,10477,Denmark
INV500072,AUT0428,Google Ultra Floor Mats,6,2023-11-12 17:38:00,250.86,10692,Norway
INV500073,FAS0447,Nikon Gray Watch,4,2024-03-26 16:50:00,139.41,10833,Germany
INV500074,HEA0280,LG Pro Toothbrush,4,2021-10-21 15:45:00,27.97,11001,Denmark
INV500075,FAS0264,Target Compact Belt,2,2020-08-03 14:44:00,131.96,10990,Brazil
INV500076,AUT0193,Cuisinart Max Floor Mats,1,2020-11-27 16:47:00,167.82,10159,India
INV500077,AUT0086,Sony Blue Car Charger,2,2020-03-20 14:31:00,118.4,10249,Norway
INV500078,FAS0321,Nike Compact Belt,8,2020-10-13 19:55:00,221.13,10350,Australia
INV500079,BOO0215,Apple Science Book,5,2020-08-28 14:18:00,12.32,11121,France
INV500080,SPO0473,Dell Deluxe Sleeping Bag,5,2022-12-06 13:39:00,327.9,11475,Mexico
INV500081,HEA0191,Premium Premium Foundation,3,2020-10-16 12:33:00,120.06,11822,Germany
INV500082,AUT0105,Walmart Tool Kit,6,2022-11-29 17:16:00,142.87,11403,Japan
INV500083,BOO0237,Basic Gray Comic Book,6,2024-03-09 19:54:00,21.82,10967,Belgium
INV500084,KIT0070,Microsoft Silver Microwave,8,2020-01-21 13:26:00,12.61,11901,United Kingdom
INV500085,BOO0077,Kitchenaid Magazine,1,2021-09-30 19:12:00,9.46,10368,Belgium
INV500086,FAS0356,Microsoft Large Sweater,8,2021-11-08 09:03:00,55.42,10409,Denmark
INV500087,AUT0240,Adidas Orange Car Accessories,2,2021-12-18 18:35:00,122.11,11280,China
INV500088,TOY0116,Adidas Purple Board Game,1,2021-01-29 12:18:00,52.96,11810,Belgium
INV500089,OFF0467,Basic White Eraser,10,2024-02-02 12:23:00,81.12,11681,Japan
INV500090,FAS0393,Walmart Boots,5,2023-02-23 16:41:00,97.81,11279,China
INV500091,ELE0104,Panasonic Brown VR Headset,3,2020-07-29 19:13:00,503.57,11351,Italy
INV500092,BOO0092,Microsoft Standard Health Book,2,2020-09-16 20:33:00,48.56,10574,India
INV500093,FAS0331,Canon Ultra Jacket,6,2023-03-24 20:54:00,268.02,11203,Australia
INV500094,KIT0310,Nikon Utensil Set,10,2023-10-01 15:13:00,164.08,11213,Denmark
INV500095,HEA0002,Premium Blue Supplements,4,2020-07-06 20:39:00,80.19,10345,India
INV500096,HOM0074,Generic Decorative Item,1,2021-10-24 09:57:00,257.96,10301,France
INV500097,FAS0027,Panasonic XL Sneakers,8,2022-05-21 18:30:00,296.26,11987,Germany
INV500098,AUT0155,HP Orange Car Phone Mount,2,2021-05-08 16:25:00,216.85,10670,Japan
INV500099,HOM0397,Target Black Plant Pot,8,2021-12-28 12:53:00,649.35,10773,Brazil
INV500100,KIT0163,Microsoft Plate Set,10,2024-09-20 11:10:00,17.66,11070,Belgium
INV500101,OFF0325,Apple Marker,3,2024-09-16 14:35:00,82.89,11937,Mexico
INV500102,FAS0251,Basic Compact Pants,5,2023-11-04 09:35:00,164.56,10905,China
INV500103,HEA0223,IKEA White Foundation,3,2020-02-21 13:54:00,47.07,11843,Mexico
INV500104,AUT0395,Premium Jump Starter,7,2021-03-13 17:35:00,73.44,10955,Netherlands
INV500105,KIT0472,HP Mini Dishwasher,34,2022-02-05 10:59:00,28.92,11795,Canada
INV500106,SPO0006,Budget Orange Basketball,6,2022-12-13 11:00:00,22.44,11532,South Korea
INV500107,KIT0159,Nike Dishwasher,6,2021-06-03 16:58:00,180.26,11201,Australia
INV500108,ELE0311,Premium Mouse,5,2023-08-07 15:25:00,671.16,10027,Spain
INV500109,ELE0357,Bosch Black Drone,5,2023-07-04 08:36:00,371.48,10090,Denmark
INV500110,OFF0016,Nike Pen,8,2023-05-29 18:29:00,79.6,11687,Brazil
INV500111,FAS0089,Kitchenaid Orange Sweater,9,2024-07-11 09:02:00,182.82,11005,Australia
INV500112,FAS0015,Samsung T-Shirt,3,2023-12-16 19:11:00,287.24,10757,Germany
INV500113,FAS0436,Bosch Purple Sunglasses,7,2024-09-04 09:03:00,201.17,11784,France
INV500114,FAS0327,Budget Brown Shorts,6,2020-07-18 16:17:00,247.6,10909,France
INV500115,FAS0100,Sony Skirt,1,2021-11-12 18:54:00,31.36,11747,Germany
INV500116,KIT0163,Microsoft Plate Set,3,2023-04-16 19:23:00,17.66,11843,Mexico
INV500117,HEA0008,Panasonic Compact Cleanser,35,2022-05-02 18:42:00,29.74,11058,Japan
INV500118,TOY0034,Generic Doll,9,2020-10-29 19:17:00,111.56,10126,Singapore
INV500119,FAS0089,Kitchenaid Orange Sweater,5,2023-05-31 11:44:00,182.82,10172,Belgium
INV500120,HOM0210,Sony Green Mirror,1,2021-09-29 12:35:00,600.93,11036,Norway
INV500121,SPO0061,Target Standard Golf Club,10,2024-09-08 19:05:00,270.24,10719,Belgium
INV500122,ELE0477,Sony Memory Card,2,2020-07-04 10:46:00,1228.45,11160,Italy
INV500123,BOO0096,Generic Large Textbook,1,2024-04-19 10:50:00,13.24,10177,Sweden
INV500124,ELE0112,Walmart White Smart TV,8,2020-06-15 19:15:00,724.37,10022,Sweden
INV500125,AUT0429,Nikon Max Dash Cam,4,2024-03-10 20:47:00,258.23,10631,Singapore
INV500126,KIT0159,Nike Dishwasher,5,2020-12-30 12:08:00,180.26,10272,Belgium
INV500127,SPO0162,Samsung Black Camping Tent,4,2021-07-12 11:11:00,333.09,11158,Canada
INV500128,ELE0133,Panasonic Deluxe Charger,5,2020-07-08 15:22:00,1960.65,10605,Spain
INV500129,BOO0187,Standard Blue Art Book,9,2022-07-09 18:43:00,40.5,11186,India
INV500130,FAS0088,Amazon Red Hat,10,2022-02-28 10:34:00,238.08,11704,Mexico
INV500131,HOM0108,Nike Standard Watering Can,37,2021-12-11 18:51:00,218.57,11165,Germany
INV500132,ELE0408,Target Premium Earbuds,6,2023-12-03 16:35:00,900.07,11397,Sweden
INV500133,HEA0381,LG Red Nail Polish,2,2022-11-17 20:13:00,134.49,11700,Belgium
INV500134,ELE0112,Walmart White Smart TV,1,2020-08-24 16:42:00,724.37,10529,Netherlands
INV500135,BOO0096,Generic Large Textbook,8,2023-04-16 13:23:00,13.24,11293,United Kingdom
INV500136,KIT0194,Sony Compact Food Processor,1,2021-10-22 19:06:00,268.2,11155,Singapore
INV500137,BOO0184,Samsung Silver Cookbook,1,2020-11-21 14:30:00,24.29,11290,South Korea
INV500138,HEA0173,Apple Supplements,2,2021-01-18 13:19:00,6.97,10686,Germany
INV500139,AUT0240,Adidas Orange Car Accessories,1,2022-06-18 20:39:00,122.11,10334,India
INV500140,KIT0304,Panasonic Compact Oven,7,2024-02-05 14:30:00,302.2,10935,Belgium
INV500141,KIT0125,Generic Compact Blender,6,2023-05-15 13:30:00,488.45,11709,Denmark
INV500142,ELE0206,Nike Keyboard,4,2024-04-11 16:06:00,1764.69,11390,South Korea
INV500143,BOO0219,HP Cookbook,10,2022-03-31 17:01:00,21.05,10863,Mexico
INV500144,BOO0263,Apple Orange Business Book,5,2024-12-20 17:44:00,27.59,10336,China
INV500145,FAS0269,Target Dress,10,2024-03-19 10:08:00,280.76,11931,Brazil
INV500146,KIT0171,Adidas Toaster,1,2020-07-04 12:50:00,130.17,11359,France
INV500147,FAS0073,Kitchenaid Shoes,8,2022-03-21 10:29:00,290.39,11569,South Korea
INV500148,KIT0338,Luxury Gray Can Opener,3,2021-09-09 12:05:00,382.64,10002,Spain
INV500149,HOM0121,Bosch Purple Pillow,7,2020-07-03 19:15:00,117.06,10379,Brazil
INV500150,SPO0351,Sony Purple Football,6,2020-01-11 15:10:00,106.06,10316,United States
INV500151,SPO0052,Premium Mini Basketball,7,2023-12-02 11:58:00,56.98,10706,United States
INV500152,FAS0343,Amazon Shoes,8,2023-12-17 11:48:00,146.34,10968,Germany
INV500153,HOM0050,Cuisinart Compact Sofa,6,2024-04-11 10:25:00,550.37,11878,Belgium
INV500154,TOY0168,Philips Educational Toy,7,2023-05-07 14:34:00,173.85,11584,Singapore
INV500155,AUT0178,Dell Red Jump Starter,10,2020-02-25 11:56:00,21.04,10147,Denmark
INV500156,BOO0092,Microsoft Standard Health Book,6,2022-01-11 13:32:00,48.56,11247,Denmark
INV500157,HOM0001,Nike Deluxe Sofa,7,2020-06-07 18:14:00,576.5,11686,Germany
INV500158,OFF0256,Sony Ultra Sticky Notes,4,2021-09-10 14:05:00,62.42,10283,Denmark
INV500159,ELE0197,Nikon Green Webcam,7,2020-11-04 12:19:00,603.5,10696,India
INV500160,AUT0346,Kitchenaid Large Car Charger,1,2021-06-18 14:11:00,92.69,10793,Germany
INV500161,HOM0204,Budget Bookshelf,2,2022-08-10 20:05:00,433.77,10335,United States
INV500162,OFF0352,LG Pink Highlighter,7,2024-07-03 20:00:00,73.92,10710,Netherlands
INV500163,OFF0164,Budget Mini Marker,9,2022-02-25 18:29:00,94.67,10330,Denmark
INV500164,KIT0249,Google Standard Blender,7,2022-05-15 20:03:00,217.23,10024,Italy
INV500165,OFF0218,IKEA XL Pen,2,2023-05-21 20:51:00,6.48,10621,Spain
INV500166,SPO0231,Basic Blue Fishing Rod,8,2023-12-29 13:54:00,209.59,11861,South Korea
INV500167,FAS0498,Target Pink Sneakers,3,2022-05-18 16:48:00,142.96,11096,Belgium
INV500168,HOM0446,Premium Green Decorative Item,3,2020-01-15 13:59:00,114.58,10786,Denmark
INV500169,SPO0303,Nike Ultra Backpack,9,2024-07-22 17:46:00,138.4,11450,Japan
INV500170,OFF0233,Nikon Whiteboard,8,2021-07-30 08:07:00,19.56,11787,Germany
INV500171,FAS0251,Basic Compact Pants,1,2024-12-26 17:43:00,164.56,11778,Japan
INV500172,AUT0130,Microsoft Air Freshener,5,2024-04-19 08:34:00,258.64,10757,Germany
INV500173,BOO0092,Microsoft Standard Health Book,7,2020-02-05 15:20:00,48.56,10548,Japan
INV500174,HOM0326,Canon Compact Lamp,2,2022-01-01 19:02:00,200.41,10610,India
INV500175,HOM0379,Panasonic Blue Pillow,3,2020-06-21 16:06:00,250.37,11089,Brazil
INV500176,HOM0373,Generic Storage Box,8,2022-06-01 12:22:00,774.17,10259,Norway
INV500177,HOM0235,IKEA Brown Lamp,4,2024-08-17 19:52:00,690.73,11991,Belgium
INV500178,KIT0292,Nike Black Food Processor,2,2021-10-30 13:02:00,212.74,11073,United States
INV500179,TOY0312,Amazon Mini Art Supplies,50,2024-07-21 09:24:00,63.89,10301,France
INV500180,TOY0372,HP Musical Instrument,5,2022-05-15 14:01:00,11.58,11050,Canada
INV500181,BOO0487,Canon Deluxe Business Book,2,2024-09-09 14:07:00,21.86,10377,Denmark
INV500182,FAS0099,Panasonic Blue Pants,5,2023-06-14 16:34:00,195.88,11626,Sweden
INV500183,SPO0407,Nike Black Hiking Boots,1,2022-02-05 17:30:00,240.6,11750,Netherlands
INV500184,OFF0390,Samsung Mini Desk Organizer,27,2024-03-09 19:49:00,14.34,10441,Sweden
INV500185,OFF0142,Sony Green Highlighter,1,2023-05-23 14:58:00,63.7,10381,United Kingdom
INV500186,KIT0348,Microsoft Pro Food Processor,1,2022-04-13 11:01:00,307.65,10372,Brazil
INV500187,TOY0213,Target Mini Art Supplies,5,2021-06-30 15:38:00,41.32,11602,France
INV500188,KIT0500,Generic Green Mixer,2,2021-03-29 11:01:00,306.72,11619,Japan
INV500189,KIT0167,Nikon Mixer,10,2021-08-12 19:45:00,244.71,11453,Germany
INV500190,SPO0424,Google Compact Football,7,2023-07-24 17:21:00,329.26,11248,Brazil
INV500191,HOM0200,Budget Outdoor Furniture,9,2020-01-26 13:21:00,772.81,11109,Norway
INV500192,AUT0178,Dell Red Jump Starter,3,2022-08-04 19:31:00,21.04,10655,Germany
INV500193,KIT0273,Nike Large Oven,7,2021-06-07 14:02:00,212.34,10432,Italy
INV500194,ELE0437,Panasonic Mouse,2,2023-07-17 15:35:00,682.39,11354,Canada
INV500195,ELE0043,Basic Green Hard Drive,9,2022-01-26 12:18:00,1635.97,10708,Japan
INV500196,SPO0162,Samsung Black Camping Tent,8,2020-03-01 10:39:00,333.09,11538,Brazil
INV500197,AUT0086,Sony Blue Car Charger,10,2022-06-02 14:48:00,118.4,11198,Netherlands
INV500198,TOY0385,Microsoft Compact Card Game,45,2024-03-03 15:15:00,28.25,10048,Singapore
INV500199,KIT0472,HP Mini Dishwasher,7,2023-05-28 09:06:00,28.92,10769,Mexico
INV500200,ELE0112,Walmart White Smart TV,2,2023-03-14 12:11:00,724.37,10811,South Korea
INV500201,HOM0082,Google Bed Frame,7,2023-01-31 14:22:00,592.82,11772,Brazil
INV500202,ELE0112,Walmart White Smart TV,10,2021-07-25 13:49:00,724.37,11539,Japan
INV500203,BOO0323,Walmart Poetry Book,6,2022-10-25 16:34:00,18.43,10744,Italy
INV500204,TOY0116,Adidas Purple Board Game,8,2024-03-29 15:18:00,52.96,10804,Belgium
INV500205,OFF0474,Nike Standard Notebook,3,2022-03-30 12:00:00,33.46,11692,Denmark
INV500206,KIT0425,IKEA Toaster,8,2023-09-05 10:43:00,480.32,11091,United States
INV500207,BOO0051,LG Health Book,7,2022-05-06 14:12:00,37.7,11859,United Kingdom
INV500208,FAS0015,Samsung T-Shirt,3,2023-06-02 17:32:00,287.24,11304,Singapore
INV500209,TOY0307,Samsung Purple Educational Toy,7,2020-02-16 13:39:00,121.51,10165,Japan
INV500210,AUT0086,Sony Blue Car Charger,8,2023-11-02 09:23:00,118.4,10512,Italy
INV500211,HEA0381,LG Red Nail Polish,7,2023-02-04 16:55:00,134.49,10047,France
INV500212,FAS0436,Bosch Purple Sunglasses,39,2022-01-25 19:55:00,201.17,10396,Germany
INV500213,TOY0090,Kitchenaid Ultra Doll,4,2021-10-22 10:18:00,174.43,10491,Netherlands
INV500214,AUT0458,HP Gold Tire Pressure Gauge,10,2022-08-02 15:15:00,49.98,10133,Australia
INV500215,BOO0309,Standard Technology Book,4,2024-06-19 10:29:00,16.04,11401,Spain
INV500216,ELE0329,Samsung Blue Headphones,10,2024-09-11 13:55:00,542.18,11025,Netherlands
INV500217,SPO0466,Google Gray Gym Equipment,8,2024-01-18 09:00:00,295.8,11885,Japan
INV500218,HEA0017,Kitchenaid Purple Deodorant,7,2024-11-10 16:30:00,140.16,11534,United Kingdom
INV500219,HOM0198,Panasonic Bed Frame,7,2021-06-16 19:34:00,666.56,11766,China
INV500220,HEA0367,Google Gold Vitamins,9,2024-01-03 08:28:00,138.49,10248,Norway
INV500221,SPO0424,Google Compact Football,5,2024-07-20 14:53:00,329.26,10985,China
INV500222,TOY0372,HP Musical Instrument,6,2022-03-29 19:59:00,11.58,11685,China
INV500223,BOO0323,Walmart Poetry Book,7,2024-05-31 09:06:00,18.43,11048,India
INV500224,HOM0434,Sony Pink Plant Pot,10,2024-03-23 20:07:00,686.23,10299,Italy
INV500225,BOO0087,Adidas Pink Art Book,6,2020-10-17 11:50:00,17.31,11479,Japan
INV500226,HOM0108,Nike Standard Watering Can,6,2023-08-07 19:04:00,218.57,10989,India
INV500227,HEA0461,Professional White Moisturizer,4,2024-03-30 12:21:00,45.47,10939,United Kingdom
INV500228,SPO0353,Google Ski Equipment,8,2023-12-03 12:36:00,97.36,10605,Spain
INV500229,SPO0305,Walmart Camping Tent,3,2020-10-30 16:18:00,165.56,10564,Singapore
INV500230,BOO0114,LG Red Self-Help Book,10,2022-01-12 19:18:00,24.39,10054,Singapore
INV500231,ELE0484,Amazon Blue Cable,10,2023-07-22 12:30:00,1023.74,10629,Brazil
INV500232,HOM0226,Kitchenaid Premium Desk,3,2024-03-03 20:44:00,529.83,11461,Belgium
INV500233,HOM0076,Bosch Pro Mattress,7,2021-06-10 18:14:00,730.86,10264,China
INV500234,FAS0436,Bosch Purple Sunglasses,5,2020-10-30 17:00:00,201.17,10058,France
INV500235,BOO0187,Standard Blue Art Book,9,2022-04-11 15:39:00,40.5,10532,United Kingdom
INV500236,FAS0088,Amazon Red Hat,19,2023-04-17 16:20:00,238.08,11844,Singapore
INV500237,BOO0192,Standard Pink Biography,8,2023-08-20 10:55:00,22.24,11072,India
INV500238,KIT0247,IKEA Bowl Set,7,2020-01-30 18:04:00,304.53,11076,Japan
INV500239,TOY0116,Adidas Purple Board Game,4,2020-11-03 12:38:00,52.96,10702,Japan
INV500240,OFF0374,Generic Hole Punch,4,2021-12-31 15:29:00,49.71,11594,Australia
INV500241,AUT0468,Budget Orange Car Charger,1,2024-09-16 19:54:00,259.68,11167,Denmark
INV500242,TOY0401,Professional Educational Toy,4,2024-02-27 11:23:00,171.07,11678,Singapore
INV500243,HEA0017,Kitchenaid Purple Deodorant,2,2021-11-05 16:04:00,140.16,11361,Canada
INV500244,ELE0284,Luxury Black Earbuds,44,2024-11-22 09:51:00,1243.84,10556,Sweden
INV500245,KIT0229,Walmart Measuring Cup,4,2021-05-16 12:51:00,84.68,10115,Germany
INV500246,HOM0094,Apple Green Mirror,4,2021-04-12 19:45:00,534.61,11515,South Korea
INV500247,AUT0091,Walmart Car Phone Mount,10,2021-06-28 16:17:00,28.67,10935,Belgium
INV500248,HEA0381,LG Red Nail Polish,2,2020-09-28 16:19:00,134.49,10188,South Korea
INV500249,HOM0107,Nikon Compact Desk,10,2024-04-08 17:30:00,409.02,10125,Netherlands
INV500250,BOO0051,LG Health Book,1,2021-10-15 20:40:00,37.7,10951,France
INV500251,SPO0101,Bosch Black Fishing Rod,8,2020-06-19 15:12:00,385.62,10150,United Kingdom
INV500252,OFF0278,Amazon Mini Eraser,10,2022-09-24 12:36:00,20.88,10205,India
INV500253,AUT0298,Adidas Car Vacuum,2,2024-01-14 15:49:00,118.99,10020,Singapore
INV500254,FAS0100,Sony Skirt,10,2024-03-27 15:00:00,31.36,11317,Singapore
INV500255,TOY0387,Panasonic Compact Musical Instrument,5,2022-10-05 18:11:00,97.64,10516,Sweden
INV500256,OFF0260,Samsung Marker,5,2023-08-14 12:16:00,97.95,10674,Netherlands
INV500257,KIT0273,Nike Large Oven,5,2023-10-20 16:32:00,212.34,11777,Mexico
INV500258,FAS0321,Nike Compact Belt,3,2022-09-25 08:20:00,221.13,10633,Germany
INV500259,HEA0499,IKEA Green Hair Dryer,8,2020-11-30 10:04:00,139.23,11830,Norway
INV500260,AUT0222,Kitchenaid Green Motor Oil,2,2024-10-31 15:21:00,21.75,11558,Germany
INV500261,OFF0352,LG Pink Highlighter,3,2021-01-31 20:06:00,73.92,11307,India
INV500262,BOO0119,Apple Gold Technology Book,9,2021-09-17 13:49:00,9.98,11563,Norway
INV500263,TOY0242,Nikon Deluxe Action Figure,5,2023-06-02 11:36:00,111.67,11087,Canada
INV500264,HOM0080,Panasonic Wardrobe,4,2024-04-18 14:50:00,222.6,11377,Italy
INV500265,ELE0437,Panasonic Mouse,3,2021-10-28 16:30:00,682.39,10352,Italy
INV500266,SPO0305,Walmart Camping Tent,5,2021-04-13 12:30:00,165.56,11339,Denmark
INV500267,ELE0439,Bosch Gaming Console,6,2020-10-23 12:21:00,1897.04,11914,Singapore
INV500268,HEA0182,Bosch Makeup,6,2022-07-10 12:27:00,20.97,11489,Denmark
INV500269,TOY0202,Apple Educational Toy,1,2024-04-10 14:03:00,36.84,11154,Norway
INV500270,HOM0210,Sony Green Mirror,3,2022-07-24 20:17:00,600.93,11984,South Korea
INV500271,HEA0420,Samsung Red Conditioner,4,2023-09-17 19:16:00,10.43,10040,Japan
INV500272,HEA0427,Cuisinart Gray Body Lotion,6,2022-05-25 20:24:00,31.87,10604,Japan
INV500273,HOM0286,Target Brown Storage Box,4,2024-06-21 11:39:00,169.58,10668,Norway
INV500274,HOM0226,Kitchenaid Premium Desk,2,2020-06-01 11:10:00,529.83,11031,Germany
INV500275,ELE0371,Kitchenaid Premium Memory Card,10,2022-08-20 08:49:00,263.46,10667,Brazil
INV500276,HOM0200,Budget Outdoor Furniture,8,2021-05-26 12:38:00,772.81,11351,Italy
INV500277,AUT0193,Cuisinart Max Floor Mats,1,2023-08-02 13:17:00,167.82,11201,Australia
INV500278,BOO0190,Microsoft Brown Biography,5,2020-08-15 15:08:00,19.37,11102,Mexico
INV500279,AUT0384,HP Orange Tire Pressure Gauge,7,2024-08-15 10:55:00,176.5,11804,France
INV500280,HEA0302,Dell Toothpaste,4,2023-02-24 09:28:00,104.62,10309,Italy
INV500281,TOY0168,Philips Educational Toy,5,2023-02-14 16:52:00,173.85,10503,Sweden
INV500282,SPO0354,Budget Fitness Tracker,2,2024-11-18 20:44:00,90.33,10597,Netherlands
INV500283,HOM0379,Panasonic Blue Pillow,6,2024-05-01 15:47:00,250.37,11457,France
INV500284,SPO0110,Google Swimming Goggles,8,2021-04-11 15:23:00,259.85,11812,Australia
